question,answer_B,source_pdf
임직원이 고객의 자금 사용 제한과 관련하여 어떤 행위를 해서는 안 되는지 설명해 주실 수 있습니까?,"임직원은 관련법령에서 정한 경우를 제외하고는 고객의 자금 사용 제한, 예금 관련 구속행위 및 고객 권익의 부당한 침해 등 건전한 금융거래질서를 문란하게 할 우려가 있는 행위를 하여서는 아니됩니다.",pdf_7_label_5.pdf
지주회사 및 계열사가 고객정보를 공유할 때 준수해야 할 사항은 무엇인가요?,"지주회사 및 계열사는 고객정보 제공 등 관련법령에서 인정하는 경우를 제외하고는 정보주체의 동의 없이 고객정보를 제공하거나 외부로 유출해서는 안 됩니다. 또한, 고객정보 공유에 대해 체계적이고 엄격하게 관리하고, 관련법령에 따라 업무처리기준을 마련하며, 보안대책을 마련하거나 시스템을 구축해야 합니다.",pdf_7_label_5.pdf
지주회사와 계열사 간의 정보 및 의사전달 체계는 어떻게 설계되어야 하나요?,지주회사와 계열사 간의 정보 및 의사전달 체계는 관련법령을 위반하지 않는 범위 내에서 재무 또는 경영정보가 모든 조직과 임직원에게 신속하고 정확하게 전달될 수 있도록 설계되어야 합니다.,pdf_7_label_5.pdf
"지주회사 및 계열사의 준법감시인은 어떤 절차에 따라 선임되어야 하며, 그 임기는 어떻게 정해지나요?","지주회사 및 계열사 준법감시인은 사내이사 또는 업무집행책임자 중에서 선임되어야 하며, 임기는 2년 이상으로 하되 이사회에서 정하는 바에 따라 정해집니다.",pdf_7_label_5.pdf
"중도상환수수료의 계산식은 어떻게 되며, 담보 종류에 따라 수수료율은 어떻게 다릅니까?","중도상환수수료의 계산식은 중도상환원금 X 수수료율 X (잔존일수 ÷ 대출기간)입니다. 담보 종류에 따라 수수료율은 다음과 같습니다: 부동산 및 동산 담보대출(고정/변동금리) 0.48%, 보증서 및 기타 담보대출(고정/변동금리) 0.08%, 신용대출(고정/변동금리) 0.08%입니다.",pdf_8_label_5.pdf
중도상환수수료는 담보종류와 금리주기에 따라 어떻게 달라지나요?,"중도상환수수료는 담보종류 및 금리주기에 따라 다르게 적용됩니다. 부동산 및 동산 담보대출의 경우 0.48%, 보증서 및 기타 담보대출과 신용대출은 각각 0.08%의 수수료가 부과됩니다. 단, 2025년 1월 12일 이전에 신규 여신(대환/재대출 포함)을 받을 경우 기존 약정시 수수료율(1.0~1.4%)이 적용됩니다.",pdf_8_label_5.pdf
2025년 1월 13일 이후 신규취급 대출의 중도상환수수료는 어떻게 변경되었나요?,"2025년 1월 13일 이후 신규취급 대출의 중도상환수수료는 주택자금대출 및 부동산담보대출의 경우 변동금리가 0.58%, 그 외주는 0.58%로 변경되었으며, 신용대출의 경우 변동금리가 0.02%, 그 외주는 0.02%로 변경되었습니다. 보증서 및 기타대출의 변동금리는 0.59%, 그 외주는 0.79%입니다.",pdf_9_label_5.pdf
중개업소 단독소개의 수료율은 대면과 비대면 각각 얼마인가요?,"중개업소 단독소개의 수료율은 대면 0.20%이고, 비대면 0.40%입니다.",pdf_9_label_5.pdf
민원처리 과정에서 민원신청인이 보완 요구에 응하지 않을 경우 어떤 절차가 진행되나요?,"민원신청인이 보완이나 보정을 하지 않거나, 소재지나 연락처가 분명하지 않아 보완 또는 보정의 요구가 2회에 걸쳐 반송된 경우에는 민원을 철회한 것으로 보아 종결 처리할 수 있습니다.",pdf_10_label_5.pdf
"민원서류를 정당한 사유 없이 3회 이상 반복 제출한 경우, 은행은 어떻게 처리하나요?",2회 이상 그 처리 결과를 통지한 후 접수되는 민원서류는 은행이 별도처리 없이 종결할 수 있습니다.,pdf_10_label_5.pdf
KB금융의 반부패/뇌물 정책에서 임직원의 책임과 의무는 무엇인가요?,"임직원은 회사에서 부여받은 업무를 수행함에 있어 필요한 관련법령과 회사 내규 및 행동기준을 정확히 숙지하고 준수해야 하며, 자신의 행동이 회사를 대표한다는 것을 인식하고 품위를 유지하며 회사의 평판을 지키기 위해 최선을 다해야 합니다. 또한, 본 행동기준에 대한 충분한 이해와 업무상 정보를 바탕으로 올바른 판단을 하도록 노력해야 합니다.",pdf_11_label_5.pdf
임직원이 고객 또는 협력사에게 부당하게 비용을 가중시키는 행위를 할 경우 어떤 원칙에 위반되는 것인가요?,"임직원은 사적 이익을 위하여 부당하게 고객 또는 협력사에게 비용을 가중시키는 행위를 하여서는 아니 되며, 이는 공정한 거래 원칙에 위반됩니다.",pdf_11_label_5.pdf
비대면채널을 이용하는 고객의 고객 확인 절차는 어떻게 이루어지나요?,"비대면채널을 이용하는 고객이 고객 확인 대상 거래를 하는 경우, 비대면 채널에서 고객 확인을 할 수 있습니다. 이 경우 신분증 진위 확인 등 대면 확인 이상의 다중 확인을 실시하며, 자금 출처와 거래 목적을 확인하는 등 FATF 기준을 철저하게 준수하고 있습니다.",pdf_12_label_5.pdf
"대출 연체 시 지연배상금액은 어떻게 계산되며, 예시로 어떤 경우를 들 수 있나요?","대출 연체 시 지연배상금액은 연체금액, 대출금리, 이자일수 계산 등에 따라 달라지며, 예를 들어 대출원금이 1억2천만원이고 약정이자율이 연 5%인 기업 신용대출의 경우, 연체 1개월 시점에 납부해야 할 지연배상금은 10,000원입니다. 연체 3개월 시점에는 지연배상금이 1,600,000원이 됩니다.",pdf_13_label_5.pdf
사전채무조정제도를 통해 어떤 지원 내용을 받을 수 있나요?,"사전채무조정제도를 통해 상환기간 연장, 분할상환, 이자율 조정, 변제기 유예, 채무감면 등의 지원을 받을 수 있습니다. 상환기간은 무담보채권 및 부동산 외 담보채권은 최장 10년, 부동산담보채권은 최장 20년까지 연장 가능하며, 이자율은 약정이율의 50%까지 인하될 수 있습니다. 또한, 변제 가능성에 따라 최대 2년까지 변제기를 유예할 수 있으며, 연체이자에 한해 채무감면이 가능합니다.",pdf_14_label_5.pdf
KB금융그룹의 세무 리스크 관리는 어떻게 이루어지고 있나요?,"KB금융그룹은 세무 리스크를 사전에 평가하고, 신상품 개발, 신규 및 해외 사업 진출, 새로운 자금조달 방법 등 기업 구조 변경에 따른 세무 리스크를 반드시 검토합니다. 외부 전문가의 검토 의견을 고려하여 평가의 객관성과 전문성을 확보하고 있습니다.",pdf_15_label_5.pdf
KB금융그룹이 세무 리스크를 관리하기 위해 실행하는 위험 관리 활동에는 어떤 것들이 있습니까?,"KB는 세무 리스크를 감소시키기 위해 다음과 같은 위험 관리 활동을 실행하고 있습니다: 1. 거래구조의 정확한 파악, 2. 세무 관련 법규, 유권해석 및 과세관행 조사, 3. 세무 리스크 발생 여부 및 예상 시나리오별 과세 규모, 사업 관련 위험도 파악, 4. 세무 리스크 발생 시 해결방안 제시.",pdf_15_label_5.pdf
신용회복지원제도의 신청자격은 무엇인가요?,"신청대상자는 협약가입금융회사에 대한 채무 중 어느 하나라도 약정한 기일 내에 변제되지 아니하고 경과된 기간이 3개월 이상인 자, 최저생계비 이상의 수입이 있거나 채무상환이 가능하다고 심의위원회가 인정하는 자, 협약가입금융회사에 채무가 있고 총채무액이 15억원 이하인 자(담보채무는 10억원 이하, 무담보 채무는 5억원 이하)입니다.",pdf_16_label_5.pdf
기업 대출 신청 시 필요한 기본 서류는 무엇인가요?,"영리법인의 경우 상업등기부등본, 법인인감증명서, 사업자등록증 사본 또는 사업자등록증명원이 필요합니다. 비영리법인은 법인등기사항전부증명서, 정관, 법인인감증명서, 주무관청의 인허가를 요하는 경우 주무관청의 인가서 또는 허가서가 필요합니다. 외국회사는 상업등기부(외국회사)등본, 정관, 법인인감증명서 또는 대표자 서명감, 사업자등록증 사본 또는 사업자등록증명원이 필요합니다. 임의단체는 정관 또는 규약, 총회 결의서가 필요하며, 개인기업은 사업자등록증 또는 사업자등록증명원이 필요합니다.",pdf_17_label_5.pdf
외부감사인의 회계감사를 받지 않은 기업이 제출해야 하는 서류는 무엇인가요?,"외부감사인의 회계감사를 받지 않은 기업은 법인세과세표준 및 세액신고서(또는 종합소득세 과세 표준확정신고 및 자진납부계산서) 및 첨부서류 사본, 법인세(또는 종합소득세)납부영수증 사본, 기타 기업신용평가를 위하여 필요하다고 판단되는 서류를 제출해야 합니다.",pdf_17_label_5.pdf
KB금융그룹의 안전·보건경영방침은 무엇을 최우선 가치로 삼고 있습니까?,KB금융그룹은 임직원 및 종사자 등 구성원들의 생명과 안전을 최우선 가치로 삼는 안전·보건경영방침을 선언하고 적극 실천할 것을 다짐합니다.,pdf_18_label_5.pdf
여싞기본강령에서 여싞담당자가 추구해야 할 최상의 도덕률은 무엇인가요?,"여싞기본강령은 여싞담당자가 추구해야 할 최상의 도덕률로서, 여싞과 관련된 모든 가치판단과 의사결정의 근간이 됩니다. 이는 안정성, 수익성, 성장성을 도모하고 국민경제의 건전한 발전에 기여하며, 윤리경영을 통해 비도덕적 행위를 근절하고, 사회와 고객, 은행에 대한 의무를 다하는 성실성과 전문적 경쟁력을 갖추어야 함을 포함합니다.",pdf_19_label_5.pdf
여싞담당자가 의사결정 과정에서 이해상충을 방지하기 위해 어떤 원칙을 준수해야 하나요?,"여싞담당자는 단기 업적 달성이나 여싞거래처의 기대에 부합하기 위해 은행과 고객의 이익에 반하는 여싞을 취급해서는 안 되며, 혈연, 지연, 학연 등의 사적 관계로부터 자유로워야 합니다. 또한, 시혜나 청탁성 여싞, 전관예우를 배제하고, 비정상적 보상이나 대가를 수수해서는 안 됩니다. 이해가 상충되는 경우에는 은행의 이익을 우선시하고, 의사결정권자들과 협의를 통해 최적의 결론을 도출해야 합니다.",pdf_19_label_5.pdf
여싞 심사 시 채무자의 상환능력을 평가하기 위해 고려해야 할 주요 요소는 무엇인가요?,"여싞 심사 시에는 재무 및 영업자료를 기초로 하여 채무관계자의 실질적 영업력에 기반한 이익, 현금흐름 창출력, 재무융통성 등을 감안한 미래 채무상환능력을 최우선시 하여야 합니다.",pdf_19_label_5.pdf
여싞 자산의 회수 가능성을 유지하기 위한 적정 싞용 보강과 채권 보전 조치는 어떻게 이루어져야 합니까?,"여싞 심사에 기초핚 적정 싞용 보강과 채권보전 조치를 취함으로써 여싞 자산의 회수가능성을 유지하여야 하며, 보증 및 담보 취득은 적법핚 젃차에 의해 이루어져야 합니다. 또한, 완젂핚 채권회수 목적의 실현을 위하여 보수적읶 관점에서 평가하여야 하며, 취득된 담보권의 효력이 상실되지 않도록 정기적으로 관리 및 재평가하여야 합니다.",pdf_19_label_5.pdf
여싞 취급 및 운용에 있어 사회적 약자에 대한 배려는 어떻게 이루어져야 합니까?,"여싞 취급 및 운용에 있어 읶권 존중에 반하는 요소와 행위를 배격하고, 아동, 부녀자, 장애인 등 사회적 약자에 대한 배려와 존중을 위해 노력해야 합니다. 또한, 여싞 상품 및 서비스 권유∙제공과 관련하여 불합리한 차별 행위가 발생하지 않도록 사전에 예방하고, 사후 조치가 필요할 경우 즉각적인 시정∙개선과 함께 피해 구제를 위해 노력을 아끼지 않아야 합니다.",pdf_19_label_5.pdf
"대출 원금이 1억2천만원일 때, 1개월 연체 시 납부해야 할 총 금액은 얼마인가요?","1개월 연체 시 납부해야 할 총 금액은 121,324,931원입니다.",pdf_20_label_5.pdf
KB 금융지주가 고객의 재산과 안전을 보호하기 위해 어떤 노력을 하고 있나요?,"KB 금융지주는 고객의 재산과 안전 및 개인 정보를 보호하고 고객의 권익을 침해하는 어떠한 비도덕적, 비윤리적 행위도 하지 않습니다.",pdf_21_label_5.pdf
KB 금융지주에서 임직원의 공정한 대우를 보장하기 위한 정책은 무엇인가요?,"KB 금융지주는 임직원 개개인의 인격과 사생활을 존중하고, 지연·혈연·학연·성별·종교·연령·장애·혼인 여부에 따른 부당한 차별대우를 하지 않으며, 능력과 자질에 따라 평등한 기회를 부여하고, 공정하게 평가한 성과에 의해 합리적으로 보상합니다.",pdf_21_label_5.pdf
KB 금융지주 임직원이 회사 자금을 개인적인 이익을 위해 사용할 수 있는 경우가 있나요?,"아니요, KB 금융지주 임직원은 회사 자금 및 자산을 규정된 용도에 따라 회사가 승인한 목적만을 위해 합리적이고 투명하게 사용해야 하며, 개인적인 이익을 위해 사용할 수 없습니다.",pdf_21_label_5.pdf
예금통장을 분실했을 경우 어떤 절차를 따라야 하나요?,"예금통장, 인감 등을 분실(도난)한 경우에는 예금주 성명, 실명확인번호, 계좌번호 등을 신속하고 정확하게 은행 본 지점에 신고하고, 신고받은 직원의 이름, 신고시간을 기록 보관하는 것이 좋습니다.",pdf_22_label_5.pdf
부동산 매매 시 매수인이 담보해지와 관련하여 확인해야 할 사항은 무엇인가요?,매수인은 매매계약서를 작성하기 전에 매도인과 당행 영업점을 방문하여 담보해지 시 상환하여 할 채무합계액을 확인하고 근저당권의『피담보채무확인서』를 발급 받아야 합니다.,pdf_22_label_5.pdf
투자신탁 상품에 투자하기 전에 어떤 사항을 확인해야 하나요?,"투자하기 전에 펀드의 특징이나 수익구조, 투자위험 등 펀드의 주요내용을 잘 확인해야 합니다. 이는 투자설명서에 자세히 기재되어 있으므로, 반드시 읽어보시고 추가적인 궁금사항이 있을 경우 판매직원에게 확인하시기 바랍니다.",pdf_22_label_5.pdf
펀드 선택 시 고려해야 할 투자자금 목적에는 어떤 것들이 있나요?,"투자자금 목적에는 여유자금, 교육자금, 주택자금, 노후자금 등이 포함됩니다.",pdf_22_label_5.pdf
특정금전신탁 상품을 선택할 때 고려해야 할 요소는 무엇인가요?,"특정금전신탁 상품을 선택하기 위해서는 투자기간, 투자경험 등을 고려해야 합니다.",pdf_22_label_5.pdf
보험계약 청약서를 작성할 때 주의해야 할 사항은 무엇인가요?,"보험계약 청약서는 반드시 계약자 본인이 직접 사실대로 작성해야 하며, 청약서에 기재하지 않고 모집인 등에게 구두로 알린 사항은 효력이 없습니다. 또한, 청약서 자필서명, 청약서부본, 약관전달 및 약관의 중요내용 설명을 이행하지 않은 계약에 대해서는 계약자가 3개월 이내에 보험회사에 대하여 보험계약을 취소할 수 있습니다.",pdf_22_label_5.pdf
신용카드를 분실했을 경우 어떻게 신고해야 하나요?,"카드 도난·분실 시 KB국민카드 고객센터(☎1588-1688, 24시간 운영), 홈페이지(www.kbcard.com) 또는 가까운 영업점으로 신고하여 주시기 바랍니다.",pdf_22_label_5.pdf
전자금융 거래 시 비밀번호를 어떻게 관리해야 하나요?,"비밀번호는 서로 다르게 설정하고 주기적으로 변경해야 하며, 알기 쉬운 비밀번호는 사용하지 않아야 합니다. 예를 들어, 주민등록번호, 생일, 전화번호, 차량번호, 연속 숫자 등을 피해야 합니다.",pdf_22_label_5.pdf
대출 권유를 전화나 문자로 받았을 때 어떤 조치를 취해야 하나요?,"전화 또는 문자를 통한 대출광고는 대출빙자형 보이스피싱일 가능성이 높으므로, 반드시 금융회사의 실제 존재여부를 확인한 후, 대출을 권유하는 자가 금융회사 직원인지 또는 정식 등록된 대출모집인인지 여부를 확인하시기 바랍니다.",pdf_22_label_5.pdf
상속인의 금융거래 조회서비스를 신청하기 위해 필요한 서류는 무엇인가요?,"상속인의 금융거래 조회서비스를 신청하기 위해서는 사망자의 사망사실이 기재된 기본증명서 또는 사망진단서, 사망자 기준으로 발급한 가족관계증명서(신청일 현재 3개월 이내 발급분), 상속인의 실명확인증표가 필요합니다.",pdf_22_label_5.pdf
의식불명자의 경우에도 상속인 금융거래 조회서비스를 이용할 수 있나요?,"의식불명자는 법적인 개념이 아니며, 금융실명법상 의식불명의 상태에 있는 명의인의 권한을 대항할 수 있는 법적인 근거가 선행되어야 조회가 가능합니다. 다만, 가정법원으로부터 후견인지정을 받은 경우에는 조회가 가능합니다.",pdf_22_label_5.pdf
은행여신거래기본약관에서 채무자가 이자율을 선택할 수 있는 방법은 무엇인가요?,"채무자는 이자 등의 율을 거래계약시에 두 가지 방법 중 하나를 선택하여 적용할 수 있습니다. 첫 번째는 채무의 이행을 완료할 때까지 은행이 그 율을 변경할 수 없음을 원칙으로 하는 것이고, 두 번째는 채무의 이행을 완료할 때까지 은행이 그 율을 수시로 변경할 수 있는 것입니다.",pdf_23_label_5.pdf
"채무자가 예상하지 못한 불이익이 발생했을 경우, 계약 해지 절차는 어떻게 되나요?","채무자는 변경 후 최초로 이자를 납입하여야 할 날부터 1개월 이내에 계약을 해지할 수 있습니다. 이 경우 해지일까지는 변경 전의 이율 등을 적용하며, 해지로 인해 발생한 반환채무이행을 지체한 경우에는 변경 전의 지연배상금률 등을 적용합니다.",pdf_23_label_5.pdf
채무자가 기한의 이익을 상실하는 경우는 어떤 상황에서 발생하나요?,"채무자가 기한의 이익을 상실하는 경우는 다음과 같은 사유가 발생할 때입니다: 1) 예치금 등 은행에 대한 채권에 가압류나 압류명령이 발송된 경우, 2) 채무자가 제공한 담보 재산에 압류명령이 발송된 경우, 3) 파산이나 회생 절차 개시 신청이 있는 경우, 4) 조세공과에 대한 납부고지서를 받거나 어음교환소의 거래정지처분이 있는 경우, 5) 폐업, 도피 등으로 지급을 정지한 경우, 6) 채무자의 과점주주나 실질적인 기업주인 포괄근보증인의 채권에 대한 명령이나 통지가 발송된 경우.",pdf_23_label_5.pdf
"채무자가 기한의 이익을 상실한 경우, 은행은 언제 연대보증인에게 통지해야 합니까?",은행은 기한의 이익이 상실된 날부터 15영업일 이내에 연대보증인에게 서면으로 그 내용을 통지하여야 합니다.,pdf_23_label_5.pdf
"자가 어음의 만기 전에 환매채무를 이행할 경우, 은행은 어떤 절차를 따라야 합니까?",은행은 환매채무를 이행하는 날부터 만기일까지의 할인료 상당금액을 되돌려 주어야 합니다.,pdf_23_label_5.pdf
"은행이 어음채권에 의하지 않고 제10조에 의한 상계 또는 대리환급변제충당을 할 경우, 어음의 반환장소는 어디인가요?",어음의 반환장소는 그 거래영업점으로 합니다.,pdf_23_label_5.pdf
"채무자가 거래에 필요한 신고사항에 변경이 있을 경우, 어떤 절차를 따라야 합니까?",채무자는 변경이 있는 경우 지체없이 그 변경 내용을 은행에 신고하여야 합니다. 등기부상 변경등기를 마친 사항에 관하여도 동일하게 적용됩니다.,pdf_23_label_5.pdf
"채무자가 약관 변경에 동의하지 않을 경우, 계약 해지 의사표시는 언제까지 해야 하나요?",채무자는 변경 통지를 받은 날로부터 30일 이내에 계약 해지의 의사표시를 하지 아니한 경우에는 변경에 동의한 것으로 봅니다.,pdf_23_label_5.pdf
"은행여신거래기본약관에 따르면, 채무자가 이자율 변경을 요구할 수 있는 경우는 어떤 상황인가요?",채무자는 약정당시와 비교하여 신용상태의 현저한 변동이 있다고 인정되는 경우 합리적인 근거를 제시하고 금리변경을 요구할 수 있습니다. 이 경우 은행은 그 적정성 여부를 성실히 심사하고 이에 따른 필요한 조치를 취할 경우 그 결과를 곧 통지하여야 합니다.,pdf_24_label_5.pdf
"채무자가 신용상태의 변동을 이유로 금리변경을 요구할 경우, 은행은 어떤 절차를 따라야 합니까?","은행은 채무자가 제시한 합리적인 근거를 바탕으로 금리변경 요구의 적정성을 성실히 심사하고, 이에 따른 필요한 조치를 취한 후 그 결과를 곧 통지하여야 합니다.",pdf_24_label_5.pdf
채무자가 기한의 이익을 상실하게 되는 경우는 어떤 상황에서 발생하나요?,"채무자는 다음과 같은 사유 중 하나라도 발생하면 기한의 이익을 상실하게 됩니다: 1) 이자를 지급하여야 할 때부터 1개월(주택담보대출의 경우 2개월)간 지체한 경우, 2) 분할상환금 또는 분할상환원리금의 지급을 2회(주택담보대출의 경우 3회) 이상 연속하여 지체한 경우, 3) 채무자에 대한 여러 채무 중 하나라도 기한에 변제하지 않거나, 압류·체납처분이 있는 경우, 4) 신용정보관리규약상 연체정보 등으로 등록된 경우 등입니다.",pdf_24_label_5.pdf
"채무자가 은행에 대한 채무의 기한의 이익을 상실한 경우, 기한의 이익이 부활하는 조건은 무엇인가요?","채무자가 은행에 대한 채무의 기한의 이익을 상실한 경우, 은행의 명시적 의사표시가 있거나, 은행이 분할상환금·분할상환원리금·이자·지연배상금을 받는 등 정상적인 거래의 계속이 있을 때, 그 채무 또는 은행이 지정하는 채무의 기한의 이익은 부활됩니다.",pdf_24_label_5.pdf
채무자가 상계통지를 은행에 제출한 후 이자 및 지연배상금의 계산기간은 어떻게 되나요?,"채권·채무에 대한 이자·지연배상금의 계산기간은 채무자의 상계통지가 은행에 도달한 날까지로 하며, 그 율은 은행에서 정한 바에 따릅니다.",pdf_24_label_5.pdf
채무자가 은행에 제출하는 자료의 성실 작성 의무는 어떻게 되나요?,채무자는 여신거래와 관련하여 은행에 제출하는 자료를 성실하게 작성·제출하여야 합니다.,pdf_24_label_5.pdf
약관 변경 시 채무자에게 통지하는 방법은 무엇인가요?,"은행은 약관을 변경하는 경우 변경된 약관의 시행일 전 최소 1개월 전까지 채무자에게 그 변경 내용(신·구조문대비표 포함)을 서면 등 채무자와 사전에 합의한 방법으로 개별 통지해야 합니다. 다만, 변경 전 내용이 기존 채무자에게 그대로 적용되거나 기존 약관의 내용이 실질적으로 변경되지 않는 단순한 문구 변경의 경우에는 해당하지 않습니다.",pdf_24_label_5.pdf
은행여신거래기본약관의 적용범위는 어떻게 되나요?,"이 약관은 은행과 채무자 사이의 어음대출, 어음할인, 증서대출, 당좌대출, 지급보증, 유가증권대여, 외국환 기타의 여신에 관한 모든 거래에 적용됩니다. 또한, 채무자가 발행, 배서, 인수나 보증한 어음에 대해 은행이 제3자와의 여신 거래에서 취득한 경우에도 적용됩니다.",pdf_25_label_5.pdf
"채무자가 대출계약을 철회할 경우, 은행은 어떤 절차를 따라야 합니까?","채무자가 대출계약을 철회할 경우, 은행은 채무자의 철회의사를 확인하여 처리해야 합니다.",pdf_25_label_5.pdf
