구 분,용 어,설 명
42,보충부담금 총액 (PSL총액 = PBO=AL),PSL총액 :연금계리방식을 적용하여 부담금산출 시점까지의 과거근무기간 분에 대해 산출 한 총 금액 / PBO(확정급여채무) : PUC방식에 의해 산출 된 금액을 국제회계기준의 “확정급여채무의 현재가치”라고 표현 / AL(퇴직급여부채) : PSL총액의 다른 표기 방식(Accured Liability)
43,보충부담금(AC),과거근무채무(종업원의 과거근무 기간에 대해 이미 퇴직금으로 적립 되어야 할 금액)를 상각하기 위한 부담금으로 초기에 100%를 납입하여 적립 하여야 하지만 기업의 상황에 따라 일정기간을 두고 상각이 가능. 율 ->산출방법 = 보충부담금액 /급여총합계 
44,보험수리적 손익,"연금계리가정과 실제운용 된 수치가 일치하지 않아 발생한 손익 ->연금계리가정이란 승급률, 할인율,퇴직률,Base_Up 등 퇴직급여채무 산출 시 적용한 율을 말함"
45,복리(Compound interest),투자원금과 그 이자 및 이자에 대한 이자까지 고려한 이자율 또는 그렇게 계산된 이자나 이자계산방식
46,부담금 (contribution),사용자나 가입자가 연금제도에 납입하는 납부금. 퇴직연금에서는 일반적으로 퇴직급여 재원 마련을 위해 사용자가 정기적으로 적립하여야 하는 금액을 말함
47,부담금기여율,기준급여에 대한 부담금의 비율
48,부담금기준,부담금 산출에 기준이 되는 임금수준
49,부담금납입유예기간,적립금 과다 등의 사유로 인해 연금재정에 대한 부담금 기여의무가 한시적으로 유예되는 기간
50,부담금률,부담금을 납입하는 율을 기준급여에 비례하여 나타낸 율
51,부담금환급,납부된 부담금에 상당하는 금액을 사용자 등에 반환하는 행위
52,분산투자,"투자시 기대투자 수익을 올리는데 있어서 투자위험(투자Risk)을 작게 하기 위해서 여러 종목에 나누어 분산시킴으로써 개개의 위험요소에 의한 부담을 서로 상쇄, 완화할 수 있도록 투자하는 가장 보편적인 투자 위험을 줄이는 투자방법"
53,불완전적립,연금자산이 연금부채에 미달하여 연금펀드에 연금계리적자가 발생한 상황 
54,비계속기준부채,퇴직금추계액에 해당하는 금액
55,사망률,퇴직연금제도의 설립 시 사용되는 사망률
56,사모펀드(private equity fund),소수의 투자자로부터 모은 자금을 주식·채권 등에 운용하는 펀드
57,사업결합,사업의 결합으로 인해 퇴직급여채무(PBO)가 증감할 때 발생한 증감액
58,사업년도 방식,"가입일자를 기준으로 1차년도만 재정결산일을 기준으로 잔여 개월 수만큼 직선보간 하고 차년도는 가입년도와 동일 (단,과거근무채무 잔여액은 상각 마지막년도 이후로 이월 함) "
59,사업자부담 퇴직급여지급액,(퇴직금발생액×(1-적립비율))한 금액 -> 적립비율 방식에서만 사용
60,사외적립비율,기존에 퇴직보험(신탁)에 납입하여 사외적립 된 비율(퇴직보험(신탁) 가입 시 목표적립비율 산정)
61,사외적립자산 공정가치,사외에 적립된 자산(연금자산)의 공정 가치 ->(사외적립자산-퇴직금지급액/2) × 기대수익률 × 해당기간
62,사외적립자산의 실제수익,사외적립자산에서 발생한 실제수익
63,사용자,"기업 또는 사업경영 담당자, 기타 근로자에 관한 사항에 대하여 기업을 위하여 행위하는 자"
64,사적연금제도,정부 외의 기구에 의해 관리되는 연금제도 사적연금제도는 사기업의 사용자나 사적연금펀드 등에 의해 관리될 수도 있음. 또한 사적연금제도는 공적연금제도를 대체하기도 하며 일부 국가에서는 공기업의 근로자를 대상으로 하기도 함
65,"산출기준일(=시산일,제도발족일)",제도 설립하고자 하는 예정일자로서 계약일에 해당하는 일자를 입력(계약일(신규일)이 대부분)
66,일시상각,과거근무채무를 일시에 납입하는 방식.
67,균등상각,과거근무채무를 일정기간을 정하여 해당기간 동안 균등하게 납입하는 방법.
68,정률상각,과거근무채무에 15/100 이상 범위에서 정한 일정비율을 곱하여 납입하는 방법
69,탄력상각,균등상각 방법으로 계산된 금액(보충부담금 하한)과 과거근무채무총액(보충부담금 상한) 범위에서 매년 상각액을 탄력적으로 적용하는 방법
70,연차별상각,DC형에서 일시에 과거근무채무를 전체 납입하기가 어려운 상태일 때 매년 1년씩 가입기간을 확장하는 형태로 일정기간이 되면 과거기간 전체를 가입처리 하는 방법 
71,상계부담금,"연금자산이 적립금을 초과하여 적립된 경우 다음에 납입 할 금액에서 상계하는 금액 산출금액 = 연금자산 - MAX(계속기준적립금, 비계속기준적립금)"
72,상시근로자,해당 사업 또는 사업장에서 법적용 사유 발생일 전 1개월(이하 ‘산정기간’이라 한다) 동안 사용한 근로자의 연인원을 같은 기간 중의 가동 일수로 나누어 산정
73,상품제공기관,퇴직연금 적립금 운용을 위한 상품의 운용을 담당하는 기관
74,세제혜택,"세법상 세금을 감면해 주거나 세율을 낮게 책정하여 조세부담을 경감시켜 실질소득이 증가된 것과 같은 효과를 주는 것. 퇴직연금 세제혜택의 기본형태는 부담금 비과세, 투자수익 비과세, 퇴직급여 과세임"
75,소급형,누진제를 지급하는 규정에서 일정기간이 되면 과거기간에 대해서도 지급률을 소급하여 적용하는 규정
76,소득대체율(Income replacement ratio),제도가입기간 중 평균소득을 현재가치로 환산한 금액대비 연금지급액을 말하는데 일반적으로 안락한 노후보장을 위한 소득대체율은 65~70%임
77,수급권,퇴직급여를 받을 수 있는 법적 근거 또는 권리자체. “수급자격”이라고도 함
78,수리채무 (계리적 연금채무),"계리적 연금채무(actuarial liability)란 계리인이 적립된 연금자산에 대응하여 해당 연금기금의 계산기초와 기금적립방식을 이용하여 산정한 바람직한 수준의 부채. 이렇게 산정된 부채를 연금수리에서는 ""표준부채"" 라고도 함. 생명보험의 순보험료식 책임준비금과 유사한 개념."
79,수익률,자산을 일정 기간 보유함으로써 얻게 된 소득 
80,수익자,"투자신탁의 수익권을 보유하는 자, 자신의 투자분에 대하여 수익 및 매매 운용 이익의 분배청구권을 가지며 신탁기간만기 후 원금의 상환을 받음. ex) 퇴직연금의 가입자(종업원)"
81,수익증권=>집합투자증권,"투자자가 투자신탁회사와의 신탁계약에 의하여 일정액의 재산 운용을 신탁한 경우, 신탁 원금과 그에 따르는 발생 수익을 받을 권리. 원금 또는 신탁재산의 운용에서 발생하는 이익을 분배받을 권리를 표시한 유가증권"
82,수탁자,신탁 업무를 수행하도록 지명된 개인 또는 회사. ex) 신탁 은행
83,순수익률,일정기간 동안 특정 자산 또는 포트폴리오로부터 각종 수수료를 공제한 후 얻게 되는 수익률
84,순자산액(Net asset value),펀드의 자산총액에서 운용수수료 및 각종 비용을 공제하고 산출한 금액으로 일반적으로 투자자가 펀드를 되팔 때 받는 가격
85,시산,퇴직연금규약과 예정기초율을 토대로 퇴직급여를 예측하고 이렇게 산출된 퇴직급여의 지급을 보장하기 위해 장기적으로 안정적이며 평준화된 부담금을 산출하는 일련의 과정
86,시산 예정 이율,예정 이율중 부담금 산출시 적용되는 이율 (할인율) 임. 부담금 수준 및 장래 책임준비금을 결정 ex) 5%
87,신용평가기관,대출 및 신용카드 사용 등 각종 금융활동으로 인해 발생한 개인 및 기업/국가의 신용점수를 토대로 개인 및 기업/국가의 신용상태를 관리하고 유지하는 기관
88,신주인수권부사채,발행회사의 주식을 매입할 수 있는 권리가 부여된 사채
89,신탁(trust),자금 또는 자산 위탁자와 이를 위탁 받아 운용하는 수탁자와의 특별한 신임관계(계약)에 의해 위탁자가 자신이 보유한 특정 재산 또는 자금을 수탁자에게 이전하거나 또는 처분을 한 뒤 수탁자로 하여금 수익자의 이익 또는 특정의 목적을 위하여 그 재산권을 관리 처분하게 하는 관계. 지명된 특정인(수탁인)이 다른 사람(신탁인)을 대신하여 자산을 보유할 수 있도록 하는 법적 기구임
90,신탁관리인,불특정 또는 미존재의 수익자를 위해 신탁의 이익을 관리하는 사람.
91,신탁보수,위탁자 및 수탁자에게 신탁업무 수행의 대가로서 신탁 재산에서 지불되는 보수. 신탁보수는 위탁자 보수와 수탁자 보수로 나누어지며 그 배분은 양자의 협의에 따라 결정
92,실적배당형 상품,운용결과에 따라 실적(이익)을 배당 받는 형태의 상품. 수익성이 높다는 장점과 함께 상품 운용의 결과에 대한 책임을 진다는 점 때문에 원금이 보장되지 못한다는 단점이 있음
93,연금,"연금수령자에게 종신 또는 일정(확정)기간 동안 (매월, 분기별, 반기별, 연도별) 고정 또는 변동방식의 급여지급을 보장하는 일종의 재무계약으로서 급여의 지급은 납입기간 종료 후 곧 바로 시작되거나 사전에 정해진 특정연령 도달시점에서 시작하여 일정 기간 또는 종신에 걸쳐서 해마다 지급"
94,연금계리,"임금상승률, 할인율, 퇴직률 등의 가정을 사용하여 장래에 지급되어질 예상 퇴직급여를 산출해내고, 이를 바탕으로 퇴직부채와 부담금(보험료)을 산출하는 것"
95,연금수령자,"현재 연금형태의 급여를 지급받고 있거나, 미래에 정상적으로 지급받게 될 사람"
96,연금자산,연금제도에 관련된 모든 형태의 투자가치
97,연차별상각,DC형에서 일시에 과거근무채무를 전체 납입하기가 어려운 상태일 때 매년 1년씩 가입기간을 확장하는 형태로 일정기간이 되면 과거기간 전체를 가입처리 하는 방법
98,예금,은행 등 금융기관이 불특정다수인으로부터 그 보관과 운용을 위탁받은 자금. 예금주의 요구가 있으면 언제라도 지급에 응해야 하는 요구불예금과 일정기간 경과 후 지급되는 저축성예금으로 구분됨
99,예금자보호제도,예금자보호제도란 예금보험공사에서 금융기관 등으로부터 미리 예금보험료를 납부받아 예금보험기금으로 적립해 두었다가 금융기관의 경영악화나 파산 등의 사유로 예금을 지급할 수 없는 경우 해당 금융기관을 대신하여 예금자에게 일정 한도 내에서 예금지급을 보장함으로 예금자를 보호하는 제도
100,예상추계액,"차년도에 예상되는 퇴직금추계액을 기입, 임원 또는 촉탁근로자인 경우만 필수 작성함"
101,예정사망율,"연령별, 성별로 향후 1년간에 사망 확률을 정해 놓은 것"
102,예정승급률 (Assumed salary scale),퇴직급여가 장래 기준급여의 비례인 경우 근로자의 기준급여가 어느 정도의 율로 증가할 것인가를 계수화한 것
103,예정퇴직률,연령별로 향후 1년간에 퇴직할 수 있는 퇴직 확률을 미리 산정한 것적용하는 참조 퇴직률이 있음
104,예측단위적립방식(PUC)(예측급부채무),"현 가입자의 총 근무기간중의 급부현가를 총 근무연수에 대한 해당근무기간까지의 비율로 산출한 책임준비금. 가입자 퇴직시의 예상급여를 각 가입연도에 대응하는 단위로 분할, 할당하고 각 단위의 현가 상당액을 가입기간 중의 각 연도에 표준 부담금으로 납입하는 방식. 급여 인상률을 반영하여 퇴직시의 급여를 적용함. 개인별로 임금상승분(승급률과 Base_Up율)을 포함하여 산출된 장래 퇴직급여 예상액의 현재가치를 UNIT(근속년수/지급률)로 나누어 산출 하는 방식 (PBO 산출 시 적용)"
105,외화예금,외화로 예금하고 외화로 인출하는 예금제도
106,요구수익률,"투자자가 요구하는 최소한의 수익률, 혹은 기업의 투자결정에 있어 어떤 투자안이 받아들여지기 위해서 이 투자안이 벌어들여야 하는 최소한의 수익률"
107,운용관리계약이전,현재의 운용관리계약을 해지하고 다른 운용관리계약으로 이전하는 것으로 전부이전과 일부이전이 있음
108,운용관리계약이전 일부이전,"A사가 B은행, D보험사와 복수의 운용관리계약을 맺은 상황에서 B은행과 D보험사간 일부 가입자의 이전"
109,운용관리계약이전 전부이전,"A사가 B은행과의 DB형 운용관리계약 전부를 C은행으로 이전하여 DB형 또는 DC형 운용관리계약을 체결함(제도변경, 제도유지 모두 해당)"
110,운용관리기관 ,"사용자나 근로자에게 적립금 운용방법을 제시하고, 적립금 운용현황의 기록, 보관, 통지 및 사용자 또는 가입자의 운용지시를 자산관리기관에 전달하는 업무를 수행하는 기관"
111,운용비율변경,신규 부담금의 운용상품 종류 및 운용비율을 변경하는 것
112,운용지시,"가입자 또는 사용자가 적립금의 운용방법을 선택하여, 퇴직연금사업자로 하여금 운용할 수 있게 지시하는 것"
113,원리금,원금과 이자의 합계
114,원리금보장,원금과 이자를 특정 이율로 만기시 보장하는 것
115,이자수익,연금자산이 운용되어 순수 이자부분에 해당하는 금액
116,이자원가,기초 확정급여채무(PBO)가 기말에 이자가 발생하여 증가하는 채무를 계산한 금액으로 부담금산출 시 사용한 할인율(시산이율)을 적용하여 산출
117,인덱스펀드(index fund),종합주가지수 등 특정 지수 구성과 비슷한 포트폴리오를 구성하여 지수와 유사한 수익률을 달성하도록 운용하는 펀드
118,일시금,"급여 형태 중 하나. 일정조건을 충족한 가입자 및 수환자, 유족 등이 급여의 전부 또는 일부를 받을 수 있음"
119,임금채권보장기금제도,"국내 중소 업체에서 근무하는 근로자의 퇴직금과 급여 보장의 안정성을 도모하기 위해 국가에서 시행하는 법으로, 도산(부도) 또는 파산한 기업에서 퇴직한 근로자들의 최소한의 생활안정을 위해 체불 된 퇴직 전의 3개월 분 임금(휴업수당 포함) 및 3년분 퇴직금을 기업의 부담금(보험료) 등으로 조성한 “임금채권보장기금(국가)”에서 지급하는 제도"
120,임원 명부,임원계약을 산출하기 위해 작성하는 명부로 종업원 명부와 동일하나 예상추계액을 추가함
121,자산관리 계약이전,현재 자산관리계약을 해지하고 다른 자산관리계약으로 이전하는 것으로 전부이전과 일부이전이 있음
122,자산관리 계약이전 일부이전,A사가 B은행 및 D보험사와 복수의 자산관리계약을 맺은 상황에서 B은행과 D보험사간에 일부 적립금의 이전이 발생하는 것
123,자산관리 계약이전 전부이전,"A사가 B은행과의 DB형 자산관리계약 전부를 C은행으로 이전하여 DB형 또는 DC형 자산관리계약을 체결하는 것(제도변경, 제도유지 모두 해당)"
124,자산관리기관,"퇴직연금에 있어 퇴직연금계좌의 설정 및 관리, 부담금 수령, 적립금의 보관과 관리, 기록관리기관에서 전달받은 운용지시의 이행 및 급여지급 등의 업무를 맡는 퇴직연금사업자"
125,장래퇴직급여의 현가,근로자가 퇴직시 지급해야 하는 퇴직급여의 현재가치액
126,재간접투자기구,다른 간접투자기구가 발행한 간접투자증권에 간접투자재산의 100분의 40을 초과하여 대통령령이 정하는 비율 이상을 투자하는 간접투자기구
127,재계산,퇴직연금제도를 운용함에 있어 장래 연금재정의 균형과 재정건전성을 유지하기 위해서는 정기적으로 또는 필요에 따라 기초율을 재산출하여 부담금을 개정하는 것
128,재산출,부담금 산출시 적용하는 기준율을 변경하여 향후 납입하는 부담금을 조정함으로써 부담금 납입이 수긍이 가도록 계속해서 재산출하는 것을 말함
129,재정검증,확정급여형(DB) 퇴직연금제도의 적립금이 법에서 정한 수준 이상으로 적립되고 있는지 매 사업년도 말 검증하는 것. 향후에 퇴직급여가 무리없이 지급될 수 있도록 적립금의 건전성을 확인하고 보완하는 것이 목적임
130,저당권,채권자가 채무자 또는 제3자(物上保證人)로부터 점유를 옮기지 않고 그 채권의 담보로 제공된 목적물
131,적립,연금자산을 외부 금융기관에 위탁하여 운영하는 행위
132,적립금,가입자의 퇴직 등 지급사유가 발생한 때에 급여의 지급을 위하여 사용자 또는 가입자가 납입한 부담금으로 적립된 자금
133,적립기준,연금부채와 관련하여 연금자산을 일정수준 이상으로 유지할 것을 의무화한 기준
134,적립률,"적립률 = 연금자산 ÷ 양 부채 중 큰 금액 × 100, 양 부채 중 큰 금액 = Max(계속기준부채,비계속기준부채)"
135,적립방식,"퇴직연금 및 개인연금 등 사적 연금에서 주로 쓰이는 방식으로 근로세대는 임금 및 소득 중 일부를 부담금으로 납부하고, 이에 의하여 적립되는 금액과 운용수익으로 은퇴 이후의 연금을 지급받는 방법"
136,전환사채,사채로서 발행되었지만 일정기간 경과 후 소유자의 청구에 의하여 주식으로 전환할 수 있는 사채
137,정년연령,기업의 정년연령
138,정률상각,과거근무채무에 일정비율을 곱하여 납입하는 방법
139,정상부담금(NC:Normal Cost),확정급여형 퇴직연금에 있어서 전 근로자에 대해 퇴직연금 가입시부터 퇴직시까지의 향후 기간에 해당하는 퇴직연금 재원을 위해 납입하는 금액
140,정액,가입연령방식의 계산방식의 하나로 정액을 퇴직급부로 하여 산정하는 방식
141,제도 변경,퇴직금제도에서 퇴직연금제도로 제도 변경 또는 퇴직연금제도에서 변경 하는 것
142,종업원 명부(가입자 명부),"성명, 주민등록번호, 입사연월일, 기준급여, 퇴직금 추계액을 기록한 명부로 인원분포표 및 임금 분포표 산출시, 예정퇴직율 산출시 사용됨"
143,주식형펀드,주식 및 주식관련 파생상품에 주로 투자하여 운용하는 펀드(최소 주식편입비율이 60%를 상회)
144,중간정산일,"종업원이 실제 퇴직하기 전에 퇴직금을 중간 정산할 경우 정산하는 날짜를 말함. 종업원은 입사일자로부터 중간정산일자까지 퇴직금을 수령하게 됨.(중간정산 이후의 퇴직금은 중간정산일자 이후부터 계산하여 산출하게 됨. 즉, 중간정산을 한 근로자는 실제 입사일이 아닌 중간정산 익일이 새로운 기산일이 됨)"
145,중도인출,"근로자가 목돈이 필요한 경우 법정사유를 충족하면 적립금 중 일부를 미리 인출하는 제도. 확정기여형(DC)제도 및 개인퇴직계좌(IRA)에서 허용되며, 중도인출이 가능한 법적 사유에는 무주택 근로자의 주택구입, 근로자 또는 그 가족의 6개월 이상의 요양 및 천재지변 등이 있음"
146,지급형태,"지급형태는 크게 일시금과 연금 지급이 있음. 일시금 : 현행 퇴직금 지급규정과 동일하게 일시금을 수령하는 방식. 연금 : 과세를 이연하였다가 55세 이후에 5년 이상에 걸쳐 연금으로 받는 방식. 확정연금 : 확정기간 동안 생사에 관계없이 연금을 일정하게 수령하는 방식, 확정부종신 : 확정된 기간 동안은 생사에 관계없이 지급하고 그 이후 기간은 살아 있으면 주는 연금제도 "
147,지방채,지방자치단체에서 발행하는 채권
148,질권,채권자가 채권의 담보로서 채무자 또는 제3자(물상보증인)로부터 받은 담보물권
149,참조승급률 (Reference salary scale),"예정승급률의 종류로서 해당 기업의 승급률 산출을 위한 기초통계량이 부족할 경우, 경험승급률을 산출하지 아니하고 적용하는 보험개발원에서 산출한 공통의 승급율. 근로자 300인 미만 기업에 적용"
150,채권형펀드,주식에는 전혀 투자하지 않고 채권 및 채권관련 파생상품에 주로 투자하여 상대적으로 안정적인 수익을 추구하는 펀드
151,청산,제도의 청산으로 인한 퇴직급여채무(PBO)의 감소금액
152,초고령사회,65세 이상 고령인구가 총인구에서 차지하는 비율이 20%이상인 사회
153,총 급여,승급률 산출대상이 되는 표준연령에 해당하는 종업원의 급여를 총 합계한 금액
154,최소제곱법(=최소자승법) ,"승급률에서 최소제곱법(=최소자승법) Y = ax + b라는 1차회귀식에서 a,b값을 구하여 연령별로 적용하는 방식"
155,축소,제도의 축소로 인한 퇴직급여채무(PBO)의 감소금액
156,충당금설정비율,사외 적립된 비율을 제외하고 내부에 퇴직급여충당금을 설정한 비율
157,취업규칙,"사용자가 사업장에 있어서 근로자가 준수하여야 할 규율과 임금 ·근로시간, 기타 근로조건에 관한 구체적 사항을 정한 규칙"
158,퇴직금우선변제,"퇴직금은 사용자의 총재산에 대해 질권 또는 저당권에 의하여 담보된 채권을 제외하고는 조세·공과금 및 다른 채권에 우선하여 변제되어야 한다는 것을 의미. 다만, 질권 또는 저당권에 우선하는 조세·공과금에 대해서는 예외"
159,퇴직금제도,기업이 1년 이상 근로한 근로자에게 매년 30일분의 평균임금을 퇴직금으로 퇴직하는 근로자에게 지급하는 제도
160,퇴직금중간정산제도,"사용자는 근로자의 요구가 있는 경우, 근로자가 퇴직하기 전에 당해 근로자가 계속 근로한 기간에 대한 퇴직금을 미리 정산하여 지급할 수 있으며, 이를 퇴직금중산정산이라 함"
161,퇴직금지급액,근로자의 퇴직으로 인해 퇴직금으로 지급한 지급금액
162,퇴직금지급조건,가입비율 퇴직자 발생시 퇴직금지급금액을 퇴직연금사업자에게 가입한 비율만큼 지급하는 방식 (100%가입 시 퇴직금전액을 지급) 적립비율 퇴직자 발생시 퇴직금지급금액을 퇴직연금사업자가 적립된 비율만큼 지급하는 방식(퇴직금* 적립비율)
163,퇴직금추계액,"각 사업년도 종료일에 있어서 재직하는 근로자 전원이 사업년도 종료일에 퇴직하는 것으로 가정하였을 때 당해 기업의 현 취업규칙상에 정해진 퇴직급여 규정에 의거, 근로자에게 지급하여야 할 퇴직급여의 총 합계금액. 임직원 퇴직 시 예상되는 퇴직금 = 급여 * 과거근속기간에 해당하는 지급률"
164,퇴직급여,퇴직급여제도에 의해 근로자에게 지급되는 연금 또는 일시금
165,퇴직급여제도,"확정급여형(DB)퇴직연금제도, 확정기여형(DC)퇴직연금제도 및 (일반)퇴직금제도를 통칭"
166,퇴직보험(신탁)예치금,퇴직금제도 중에 사외예치기관인 은행 보험 등에 퇴직보험 또는 퇴직신탁으로 적립된 금액
167,퇴직신탁,"금전신탁의 일종으로, 기업 등으로부터 갹출된 기금을 관리 ·운용하여 종업원들에게 연금급부를 시행하는 신탁"
168,퇴직연금사업자,"은행, 보험회사, 증권회사, 자산운용회사, 기타신탁업인가를 받은 자 등으로서 재무건정성, 인적요건, 물적요건 등을 갖추어서 금융감독위윈회에 등록된 사업자"
169,퇴직연금제도,기업이 임직원의 노후소득을 보장하기 위해 재직 중에 퇴직금 재원을 별도의 금융기관에 적립하고 근로자가 퇴직할 때 일시금 또는 연금형태로 지급하는 기업복지제도. 확정급여형과 확정기여형 퇴직연금제도가 있음
170,퇴직연금컨설팅,"퇴직연금과 관련된 기업의 재정상태, 인사정책, 노사여건 등을 동시에 고려하여 적합한 제도 및 적립금 운용대안을 제시하며 그 실행과 운영을 지원하는 것"
